a1,a2,a3,a4,a5,a6,a7,class
the,bar,was,an,oil,painting,of,DT
bar,was,an,oil,painting,of,a,NN
was,an,oil,painting,of,a,nude,NN
an,oil,painting,of,a,nude,Al,IN
oil,painting,of,a,nude,Al,had,DT
painting,of,a,nude,Al,had,accepted,JJ
of,a,nude,Al,had,accepted,from,NNP
a,nude,Al,had,accepted,from,a,VBD
nude,Al,had,accepted,from,a,student,VBN
Al,had,accepted,from,a,student,at,IN
had,accepted,from,a,student,at,the,DT
accepted,from,a,student,at,the,Corcoran,NN
from,a,student,at,the,Corcoran,Gallery,IN
a,student,at,the,Corcoran,Gallery,who,DT
student,at,the,Corcoran,Gallery,who,needed,NNP
at,the,Corcoran,Gallery,who,needed,to,NNP
the,Corcoran,Gallery,who,needed,to,eat,WP
Corcoran,Gallery,who,needed,to,eat,and,VBD
Gallery,who,needed,to,eat,and,drink,TO
who,needed,to,eat,and,drink,and,VB
needed,to,eat,and,drink,and,was,CC
to,eat,and,drink,and,was,broke,VB
eat,and,drink,and,was,broke,PERIOD,CC
and,drink,and,was,broke,PERIOD,_,VBD
drink,and,was,broke,PERIOD,_,_,JJ
and,was,broke,PERIOD,_,_,_,PERIOD
_,_,_,After,years,of,talking,IN
_,_,After,years,of,talking,about,NNS
_,After,years,of,talking,about,selling,IN
After,years,of,talking,about,selling,in,VBG
years,of,talking,about,selling,in,Japan,IN
of,talking,about,selling,in,Japan,COMMA,VBG
talking,about,selling,in,Japan,COMMA,more,IN
about,selling,in,Japan,COMMA,more,and,NNP
selling,in,Japan,COMMA,more,and,more,COMMA
in,Japan,COMMA,more,and,more,UPERIODSPERIOD,JJR
Japan,COMMA,more,and,more,UPERIODSPERIOD,companies,CC
COMMA,more,and,more,UPERIODSPERIOD,companies,are,JJR
more,and,more,UPERIODSPERIOD,companies,are,seriously,NNP
and,more,UPERIODSPERIOD,companies,are,seriously,pouring,NNS
more,UPERIODSPERIOD,companies,are,seriously,pouring,in,VBP
UPERIODSPERIOD,companies,are,seriously,pouring,in,PERIOD,RB
companies,are,seriously,pouring,in,PERIOD,_,VBG
are,seriously,pouring,in,PERIOD,_,_,RP
seriously,pouring,in,PERIOD,_,_,_,PERIOD
_,_,_,The,outlook,for,corporate,DT
_,_,The,outlook,for,corporate,earnings,NN
_,The,outlook,for,corporate,earnings,is,IN
The,outlook,for,corporate,earnings,is,fairly,JJ
outlook,for,corporate,earnings,is,fairly,bleak,NNS
for,corporate,earnings,is,fairly,bleak,PERIOD,VBZ
corporate,earnings,is,fairly,bleak,PERIOD,_,RB
earnings,is,fairly,bleak,PERIOD,_,_,JJ
is,fairly,bleak,PERIOD,_,_,_,PERIOD
_,_,_,Far,above,in,the,RB
_,_,Far,above,in,the,belfry,RB
_,Far,above,in,the,belfry,COMMA,IN
Far,above,in,the,belfry,COMMA,the,DT
above,in,the,belfry,COMMA,the,huge,NN
in,the,belfry,COMMA,the,huge,bronze,COMMA
the,belfry,COMMA,the,huge,bronze,bells,DT
belfry,COMMA,the,huge,bronze,bells,COMMA,JJ
COMMA,the,huge,bronze,bells,COMMA,mounted,NN
the,huge,bronze,bells,COMMA,mounted,on,NNS
huge,bronze,bells,COMMA,mounted,on,wheels,COMMA
bronze,bells,COMMA,mounted,on,wheels,COMMA,VBN
bells,COMMA,mounted,on,wheels,COMMA,swing,IN
COMMA,mounted,on,wheels,COMMA,swing,madly,NNS
mounted,on,wheels,COMMA,swing,madly,through,COMMA
on,wheels,COMMA,swing,madly,through,a,VBP
wheels,COMMA,swing,madly,through,a,full,RB
COMMA,swing,madly,through,a,full,360,IN
swing,madly,through,a,full,360,degrees,DT
madly,through,a,full,360,degrees,COMMA,JJ
through,a,full,360,degrees,COMMA,starting,CD
a,full,360,degrees,COMMA,starting,and,NNS
full,360,degrees,COMMA,starting,and,ending,COMMA
360,degrees,COMMA,starting,and,ending,COMMA,VBG
degrees,COMMA,starting,and,ending,COMMA,surprisingly,CC
COMMA,starting,and,ending,COMMA,surprisingly,COMMA,VBG
starting,and,ending,COMMA,surprisingly,COMMA,in,COMMA
and,ending,COMMA,surprisingly,COMMA,in,the,RB
ending,COMMA,surprisingly,COMMA,in,the,inverted,COMMA
COMMA,surprisingly,COMMA,in,the,inverted,COMMA,IN
surprisingly,COMMA,in,the,inverted,COMMA,or,DT
COMMA,in,the,inverted,COMMA,or,mouth-up,JJ
in,the,inverted,COMMA,or,mouth-up,position,COMMA
the,inverted,COMMA,or,mouth-up,position,PERIOD,CC
inverted,COMMA,or,mouth-up,position,PERIOD,_,JJ
COMMA,or,mouth-up,position,PERIOD,_,_,NN
or,mouth-up,position,PERIOD,_,_,_,PERIOD
_,_,_,It,had,been,due,PRP
_,_,It,had,been,due,to,VBD
_,It,had,been,due,to,expire,VBN
It,had,been,due,to,expire,Friday,JJ
had,been,due,to,expire,Friday,evening,TO
been,due,to,expire,Friday,evening,PERIOD,VB
due,to,expire,Friday,evening,PERIOD,_,NNP
to,expire,Friday,evening,PERIOD,_,_,NN
expire,Friday,evening,PERIOD,_,_,_,PERIOD
_,_,_,The,nine,major,UPERIODSPERIOD,DT
_,_,The,nine,major,UPERIODSPERIOD,auto,CD
_,The,nine,major,UPERIODSPERIOD,auto,makers,JJ
The,nine,major,UPERIODSPERIOD,auto,makers,plan,NNP
nine,major,UPERIODSPERIOD,auto,makers,plan,to,NN
major,UPERIODSPERIOD,auto,makers,plan,to,build,NNS
UPERIODSPERIOD,auto,makers,plan,to,build,147COMMA121,VBP
auto,makers,plan,to,build,147COMMA121,vehicles,TO
makers,plan,to,build,147COMMA121,vehicles,this,VB
plan,to,build,147COMMA121,vehicles,this,week,CD
to,build,147COMMA121,vehicles,this,week,COMMA,NNS
build,147COMMA121,vehicles,this,week,COMMA,down,DT
147COMMA121,vehicles,this,week,COMMA,down,9PERIOD6,NN
vehicles,this,week,COMMA,down,9PERIOD6,PERCENT,COMMA
this,week,COMMA,down,9PERIOD6,PERCENT,from,RB
week,COMMA,down,9PERIOD6,PERCENT,from,the,CD
COMMA,down,9PERIOD6,PERCENT,from,the,162COMMA767,NN
down,9PERIOD6,PERCENT,from,the,162COMMA767,a,IN
9PERIOD6,PERCENT,from,the,162COMMA767,a,year,DT
PERCENT,from,the,162COMMA767,a,year,ago,CD
from,the,162COMMA767,a,year,ago,COMMA,DT
the,162COMMA767,a,year,ago,COMMA,but,NN
162COMMA767,a,year,ago,COMMA,but,2PERIOD5,RB
a,year,ago,COMMA,but,2PERIOD5,PERCENT,COMMA
year,ago,COMMA,but,2PERIOD5,PERCENT,higher,CC
ago,COMMA,but,2PERIOD5,PERCENT,higher,than,CD
COMMA,but,2PERIOD5,PERCENT,higher,than,last,NN
but,2PERIOD5,PERCENT,higher,than,last,week,JJR
2PERIOD5,PERCENT,higher,than,last,week,SQs,IN
PERCENT,higher,than,last,week,SQs,143COMMA534,JJ
higher,than,last,week,SQs,143COMMA534,PERIOD,NN
than,last,week,SQs,143COMMA534,PERIOD,_,POS
last,week,SQs,143COMMA534,PERIOD,_,_,CD
week,SQs,143COMMA534,PERIOD,_,_,_,PERIOD
_,_,_,But,MessrsPERIOD,Fleischmann,and,CC
_,_,But,MessrsPERIOD,Fleischmann,and,Pons,NNS
_,But,MessrsPERIOD,Fleischmann,and,Pons,said,NNP
But,MessrsPERIOD,Fleischmann,and,Pons,said,their,CC
MessrsPERIOD,Fleischmann,and,Pons,said,their,experiments,NNP
Fleischmann,and,Pons,said,their,experiments,also,VBD
and,Pons,said,their,experiments,also,produced,PRPSTR
Pons,said,their,experiments,also,produced,large,NNS
said,their,experiments,also,produced,large,amounts,RB
their,experiments,also,produced,large,amounts,of,VBD
experiments,also,produced,large,amounts,of,heat,JJ
also,produced,large,amounts,of,heat,PERIOD,NNS
produced,large,amounts,of,heat,PERIOD,_,IN
large,amounts,of,heat,PERIOD,_,_,NN
amounts,of,heat,PERIOD,_,_,_,PERIOD
_,_,_,Frank,WPERIOD,Terrizzi,PERIOD,NNP
_,_,Frank,WPERIOD,Terrizzi,PERIOD,_,NNP
_,Frank,WPERIOD,Terrizzi,PERIOD,_,_,NNP
Frank,WPERIOD,Terrizzi,PERIOD,_,_,_,PERIOD
_,_,_,Nothing,in,the,annals,NN
_,_,Nothing,in,the,annals,of,IN
_,Nothing,in,the,annals,of,tuition,DT
Nothing,in,the,annals,of,tuition,readied,NN
in,the,annals,of,tuition,readied,parents,IN
the,annals,of,tuition,readied,parents,for,NN
annals,of,tuition,readied,parents,for,the,VBD
of,tuition,readied,parents,for,the,1980s,NNS
tuition,readied,parents,for,the,1980s,PERIOD,IN
readied,parents,for,the,1980s,PERIOD,_,DT
parents,for,the,1980s,PERIOD,_,_,NNS
for,the,1980s,PERIOD,_,_,_,PERIOD
_,_,_,This,misguided,policy,could,DT
_,_,This,misguided,policy,could,not,JJ
_,This,misguided,policy,could,not,prevent,NN
This,misguided,policy,could,not,prevent,a,MD
misguided,policy,could,not,prevent,a,British,RB
policy,could,not,prevent,a,British,trade,VB
could,not,prevent,a,British,trade,deficit,DT
not,prevent,a,British,trade,deficit,PERIOD,JJ
prevent,a,British,trade,deficit,PERIOD,_,NN
a,British,trade,deficit,PERIOD,_,_,NN
British,trade,deficit,PERIOD,_,_,_,PERIOD
_,_,_,Thus,COMMA,Sauternes,or,RB
_,_,Thus,COMMA,Sauternes,or,Barsacs,COMMA
_,Thus,COMMA,Sauternes,or,Barsacs,should,NNPS
Thus,COMMA,Sauternes,or,Barsacs,should,be,CC
COMMA,Sauternes,or,Barsacs,should,be,very,NNPS
Sauternes,or,Barsacs,should,be,very,cold,MD
or,Barsacs,should,be,very,cold,SEMICOLON,VB
Barsacs,should,be,very,cold,SEMICOLON,SEMICOLON,RB
should,be,very,cold,SEMICOLON,SEMICOLON,a,JJ
be,very,cold,SEMICOLON,SEMICOLON,a,Pouilly-Fuisse,COLON
very,cold,SEMICOLON,SEMICOLON,a,Pouilly-Fuisse,or,COLON
cold,SEMICOLON,SEMICOLON,a,Pouilly-Fuisse,or,a,DT
SEMICOLON,SEMICOLON,a,Pouilly-Fuisse,or,a,Chablis,NNP
SEMICOLON,a,Pouilly-Fuisse,or,a,Chablis,somewhat,CC
a,Pouilly-Fuisse,or,a,Chablis,somewhat,less,DT
Pouilly-Fuisse,or,a,Chablis,somewhat,less,cold,NNPS
or,a,Chablis,somewhat,less,cold,PERIOD,RB
a,Chablis,somewhat,less,cold,PERIOD,_,RBR
Chablis,somewhat,less,cold,PERIOD,_,_,JJ
somewhat,less,cold,PERIOD,_,_,_,PERIOD
_,_,_,Foreign,bonds,surged,as,JJ
_,_,Foreign,bonds,surged,as,the,NNS
_,Foreign,bonds,surged,as,the,dollar,VBD
Foreign,bonds,surged,as,the,dollar,weakened,IN
bonds,surged,as,the,dollar,weakened,against,DT
surged,as,the,dollar,weakened,against,most,NN
as,the,dollar,weakened,against,most,major,VBD
the,dollar,weakened,against,most,major,currencies,IN
dollar,weakened,against,most,major,currencies,PERIOD,JJS
weakened,against,most,major,currencies,PERIOD,_,JJ
against,most,major,currencies,PERIOD,_,_,NNS
most,major,currencies,PERIOD,_,_,_,PERIOD
_,_,_,With,Hudson,looking,on,IN
_,_,With,Hudson,looking,on,COMMA,NNP
_,With,Hudson,looking,on,COMMA,his,VBG
With,Hudson,looking,on,COMMA,his,protege,RP
Hudson,looking,on,COMMA,his,protege,Greene,COMMA
looking,on,COMMA,his,protege,Greene,picked,PRPSTR
on,COMMA,his,protege,Greene,picked,a,NN
COMMA,his,protege,Greene,picked,a,fight,NNP
his,protege,Greene,picked,a,fight,with,VBD
protege,Greene,picked,a,fight,with,the,DT
Greene,picked,a,fight,with,the,ship,NN
picked,a,fight,with,the,ship,SQs,IN
a,fight,with,the,ship,SQs,surgeon,DT
fight,with,the,ship,SQs,surgeon,COMMA,NN
with,the,ship,SQs,surgeon,COMMA,Edward,POS
the,ship,SQs,surgeon,COMMA,Edward,Wilson,NN
ship,SQs,surgeon,COMMA,Edward,Wilson,PERIOD,COMMA
SQs,surgeon,COMMA,Edward,Wilson,PERIOD,_,NNP
surgeon,COMMA,Edward,Wilson,PERIOD,_,_,NNP
COMMA,Edward,Wilson,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,It,SQs,the,DBQ
_,_,DBQ,It,SQs,the,second,PRP
_,DBQ,It,SQs,the,second,time,VBZ
DBQ,It,SQs,the,second,time,War,DT
It,SQs,the,second,time,War,Ax,JJ
SQs,the,second,time,War,Ax,hands,NN
the,second,time,War,Ax,hands,made,NNP
second,time,War,Ax,hands,made,a,NNP
time,War,Ax,hands,made,a,play,NNS
War,Ax,hands,made,a,play,for,VBD
Ax,hands,made,a,play,for,that,DT
hands,made,a,play,for,that,money,NN
made,a,play,for,that,money,PERIOD,IN
a,play,for,that,money,PERIOD,_,DT
play,for,that,money,PERIOD,_,_,NN
for,that,money,PERIOD,_,_,_,PERIOD
_,_,_,We,had,just,sat,PRP
_,_,We,had,just,sat,down,VBD
_,We,had,just,sat,down,PERIOD,RB
We,had,just,sat,down,PERIOD,_,VBN
had,just,sat,down,PERIOD,_,_,RB
just,sat,down,PERIOD,_,_,_,PERIOD
_,_,_,International,competition,for,the,JJ
_,_,International,competition,for,the,few,NN
_,International,competition,for,the,few,Soviet,IN
International,competition,for,the,few,Soviet,goods,DT
competition,for,the,few,Soviet,goods,that,JJ
for,the,few,Soviet,goods,that,can,JJ
the,few,Soviet,goods,that,can,be,NNS
few,Soviet,goods,that,can,be,sold,WDT
Soviet,goods,that,can,be,sold,on,MD
goods,that,can,be,sold,on,world,VB
that,can,be,sold,on,world,markets,VBN
can,be,sold,on,world,markets,is,IN
be,sold,on,world,markets,is,heating,NN
sold,on,world,markets,is,heating,up,NNS
on,world,markets,is,heating,up,COMMA,VBZ
world,markets,is,heating,up,COMMA,however,VBG
markets,is,heating,up,COMMA,however,PERIOD,RP
is,heating,up,COMMA,however,PERIOD,_,COMMA
heating,up,COMMA,however,PERIOD,_,_,RB
up,COMMA,however,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,And,it,SQs,DBQ
_,_,DBQ,And,it,SQs,all,CC
_,DBQ,And,it,SQs,all,the,PRP
DBQ,And,it,SQs,all,the,more,VBZ
And,it,SQs,all,the,more,tragic,PDT
it,SQs,all,the,more,tragic,because,DT
SQs,all,the,more,tragic,because,it,RBR
all,the,more,tragic,because,it,SQs,JJ
the,more,tragic,because,it,SQs,so,IN
more,tragic,because,it,SQs,so,little,PRP
tragic,because,it,SQs,so,little,deserved,VBZ
because,it,SQs,so,little,deserved,DQ,RB
it,SQs,so,little,deserved,DQ,COMMA,RB
SQs,so,little,deserved,DQ,COMMA,said,VBN
so,little,deserved,DQ,COMMA,said,MrPERIOD,DQ
little,deserved,DQ,COMMA,said,MrPERIOD,JPERIOD,COMMA
deserved,DQ,COMMA,said,MrPERIOD,JPERIOD,JPERIOD,VBD
DQ,COMMA,said,MrPERIOD,JPERIOD,JPERIOD,APERIOD,NNP
COMMA,said,MrPERIOD,JPERIOD,JPERIOD,APERIOD,Frans,NNP
said,MrPERIOD,JPERIOD,JPERIOD,APERIOD,Frans,COMMA,NNP
MrPERIOD,JPERIOD,JPERIOD,APERIOD,Frans,COMMA,a,NNP
JPERIOD,JPERIOD,APERIOD,Frans,COMMA,a,Belgian,NNP
JPERIOD,APERIOD,Frans,COMMA,a,Belgian,official,COMMA
APERIOD,Frans,COMMA,a,Belgian,official,of,DT
Frans,COMMA,a,Belgian,official,of,the,JJ
COMMA,a,Belgian,official,of,the,United,NN
a,Belgian,official,of,the,United,Nations,IN
Belgian,official,of,the,United,Nations,Educational,DT
official,of,the,United,Nations,Educational,COMMA,NNP
of,the,United,Nations,Educational,COMMA,Scientific,NNP
the,United,Nations,Educational,COMMA,Scientific,COMMA,NNP
United,Nations,Educational,COMMA,Scientific,COMMA,and,COMMA
Nations,Educational,COMMA,Scientific,COMMA,and,Cultural,NNP
Educational,COMMA,Scientific,COMMA,and,Cultural,Organization,COMMA
COMMA,Scientific,COMMA,and,Cultural,Organization,PERIOD,CC
Scientific,COMMA,and,Cultural,Organization,PERIOD,_,NNP
COMMA,and,Cultural,Organization,PERIOD,_,_,NNP
and,Cultural,Organization,PERIOD,_,_,_,PERIOD
_,_,_,And,he,says,he,CC
_,_,And,he,says,he,SQs,PRP
_,And,he,says,he,SQs,learned,VBZ
And,he,says,he,SQs,learned,a,PRP
he,says,he,SQs,learned,a,lesson,VBZ
says,he,SQs,learned,a,lesson,COLON,VBN
he,SQs,learned,a,lesson,COLON,DBQ,DT
SQs,learned,a,lesson,COLON,DBQ,You,NN
learned,a,lesson,COLON,DBQ,You,always,COLON
a,lesson,COLON,DBQ,You,always,have,DBQ
lesson,COLON,DBQ,You,always,have,to,PRP
COLON,DBQ,You,always,have,to,watch,RB
DBQ,You,always,have,to,watch,out,VBP
You,always,have,to,watch,out,for,TO
always,have,to,watch,out,for,yourself,VB
have,to,watch,out,for,yourself,PERIOD,RP
to,watch,out,for,yourself,PERIOD,_,IN
watch,out,for,yourself,PERIOD,_,_,PRP
out,for,yourself,PERIOD,_,_,_,PERIOD
_,_,_,DBQ,What,you,SQre,DBQ
_,_,DBQ,What,you,SQre,really,WP
_,DBQ,What,you,SQre,really,asking,PRP
DBQ,What,you,SQre,really,asking,is,VBP
What,you,SQre,really,asking,is,COMMA,RB
you,SQre,really,asking,is,COMMA,Are,VBG
SQre,really,asking,is,COMMA,Are,the,VBZ
really,asking,is,COMMA,Are,the,profit,COMMA
asking,is,COMMA,Are,the,profit,and,VBP
is,COMMA,Are,the,profit,and,loss,DT
COMMA,Are,the,profit,and,loss,margins,NN
Are,the,profit,and,loss,margins,anticipated,CC
the,profit,and,loss,margins,anticipated,on,NN
profit,and,loss,margins,anticipated,on,the,NNS
and,loss,margins,anticipated,on,the,events,VBN
loss,margins,anticipated,on,the,events,acceptable,IN
margins,anticipated,on,the,events,acceptable,to,DT
anticipated,on,the,events,acceptable,to,management,NNS
on,the,events,acceptable,to,management,?,JJ
the,events,acceptable,to,management,?,DQ,TO
events,acceptable,to,management,?,DQ,he,NN
acceptable,to,management,?,DQ,he,says,PERIOD
to,management,?,DQ,he,says,PERIOD,DQ
management,?,DQ,he,says,PERIOD,_,PRP
?,DQ,he,says,PERIOD,_,_,VBZ
DQ,he,says,PERIOD,_,_,_,PERIOD
_,_,_,By,comparison,COMMA,Fritzie,IN
_,_,By,comparison,COMMA,Fritzie,and,NN
_,By,comparison,COMMA,Fritzie,and,Laura,COMMA
By,comparison,COMMA,Fritzie,and,Laura,Andrus,NNP
comparison,COMMA,Fritzie,and,Laura,Andrus,were,CC
COMMA,Fritzie,and,Laura,Andrus,were,quivering,NNP
Fritzie,and,Laura,Andrus,were,quivering,fledglings,NNP
and,Laura,Andrus,were,quivering,fledglings,PERIOD,VBD
Laura,Andrus,were,quivering,fledglings,PERIOD,_,VBG
Andrus,were,quivering,fledglings,PERIOD,_,_,NNS
were,quivering,fledglings,PERIOD,_,_,_,PERIOD
_,_,_,Thus,COMMA,Brooks,Brothers,RB
_,_,Thus,COMMA,Brooks,Brothers,has,COMMA
_,Thus,COMMA,Brooks,Brothers,has,lost,NNP
Thus,COMMA,Brooks,Brothers,has,lost,customers,NNPS
COMMA,Brooks,Brothers,has,lost,customers,to,VBZ
Brooks,Brothers,has,lost,customers,to,stores,VBN
Brothers,has,lost,customers,to,stores,that,NNS
has,lost,customers,to,stores,that,offer,TO
lost,customers,to,stores,that,offer,more,NNS
customers,to,stores,that,offer,more,variety,WDT
to,stores,that,offer,more,variety,such,VBP
stores,that,offer,more,variety,such,as,JJR
that,offer,more,variety,such,as,Paul,NN
offer,more,variety,such,as,Paul,Stuart,JJ
more,variety,such,as,Paul,Stuart,COMMA,IN
variety,such,as,Paul,Stuart,COMMA,Barneys,NNP
such,as,Paul,Stuart,COMMA,Barneys,New,NNP
as,Paul,Stuart,COMMA,Barneys,New,York,COMMA
Paul,Stuart,COMMA,Barneys,New,York,and,NNP
Stuart,COMMA,Barneys,New,York,and,Louis,NNP
COMMA,Barneys,New,York,and,Louis,COMMA,NNP
Barneys,New,York,and,Louis,COMMA,Boston,CC
New,York,and,Louis,COMMA,Boston,PERIOD,NNP
York,and,Louis,COMMA,Boston,PERIOD,_,COMMA
and,Louis,COMMA,Boston,PERIOD,_,_,NNP
Louis,COMMA,Boston,PERIOD,_,_,_,PERIOD
_,_,_,Nobody,can,tell,more,NNP
_,_,Nobody,can,tell,more,closely,MD
_,Nobody,can,tell,more,closely,how,VB
Nobody,can,tell,more,closely,how,many,RBR
can,tell,more,closely,how,many,villages,RB
tell,more,closely,how,many,villages,there,WRB
more,closely,how,many,villages,there,are,JJ
closely,how,many,villages,there,are,PERIOD,NNS
how,many,villages,there,are,PERIOD,_,EX
many,villages,there,are,PERIOD,_,_,VBP
villages,there,are,PERIOD,_,_,_,PERIOD
_,_,_,The,new,UPERIODSPERIOD,package,DT
_,_,The,new,UPERIODSPERIOD,package,also,JJ
_,The,new,UPERIODSPERIOD,package,also,says,NNP
The,new,UPERIODSPERIOD,package,also,says,countries,NN
new,UPERIODSPERIOD,package,also,says,countries,could,RB
UPERIODSPERIOD,package,also,says,countries,could,temporarily,VBZ
package,also,says,countries,could,temporarily,raise,NNS
also,says,countries,could,temporarily,raise,tariffs,MD
says,countries,could,temporarily,raise,tariffs,on,RB
countries,could,temporarily,raise,tariffs,on,certain,VB
could,temporarily,raise,tariffs,on,certain,products,NNS
temporarily,raise,tariffs,on,certain,products,if,IN
raise,tariffs,on,certain,products,if,they,JJ
tariffs,on,certain,products,if,they,experience,NNS
on,certain,products,if,they,experience,an,IN
certain,products,if,they,experience,an,unusually,PRP
products,if,they,experience,an,unusually,heavy,VBP
if,they,experience,an,unusually,heavy,volume,DT
they,experience,an,unusually,heavy,volume,of,RB
experience,an,unusually,heavy,volume,of,imports,JJ
an,unusually,heavy,volume,of,imports,PERIOD,NN
unusually,heavy,volume,of,imports,PERIOD,_,IN
heavy,volume,of,imports,PERIOD,_,_,NNS
volume,of,imports,PERIOD,_,_,_,PERIOD
_,_,_,Probably,the,last,of,RB
_,_,Probably,the,last,of,the,DT
_,Probably,the,last,of,the,original,JJ
Probably,the,last,of,the,original,Island,IN
the,last,of,the,original,Island,Indians,DT
last,of,the,original,Island,Indians,PERIOD,JJ
of,the,original,Island,Indians,PERIOD,_,NN
the,original,Island,Indians,PERIOD,_,_,NNPS
original,Island,Indians,PERIOD,_,_,_,PERIOD
_,_,_,For,the,first,time,IN
_,_,For,the,first,time,in,DT
_,For,the,first,time,in,32,JJ
For,the,first,time,in,32,years,NN
the,first,time,in,32,years,COMMA,IN
first,time,in,32,years,COMMA,ferry,CD
time,in,32,years,COMMA,ferry,service,NNS
in,32,years,COMMA,ferry,service,has,COMMA
32,years,COMMA,ferry,service,has,been,NN
years,COMMA,ferry,service,has,been,restored,NN
COMMA,ferry,service,has,been,restored,between,VBZ
ferry,service,has,been,restored,between,the,VBN
service,has,been,restored,between,the,East,VBN
has,been,restored,between,the,East,Bay,IN
been,restored,between,the,East,Bay,and,DT
restored,between,the,East,Bay,and,San,NNP
between,the,East,Bay,and,San,Francisco,NNP
the,East,Bay,and,San,Francisco,PERIOD,CC
East,Bay,and,San,Francisco,PERIOD,_,NNP
Bay,and,San,Francisco,PERIOD,_,_,NNP
and,San,Francisco,PERIOD,_,_,_,PERIOD
_,_,_,Uncle,John,Vinnicum,Morse,NNP
_,_,Uncle,John,Vinnicum,Morse,was,NNP
_,Uncle,John,Vinnicum,Morse,was,the,NNP
Uncle,John,Vinnicum,Morse,was,the,immediate,NNP
John,Vinnicum,Morse,was,the,immediate,popular,VBD
Vinnicum,Morse,was,the,immediate,popular,suspect,DT
Morse,was,the,immediate,popular,suspect,PERIOD,JJ
was,the,immediate,popular,suspect,PERIOD,_,JJ
the,immediate,popular,suspect,PERIOD,_,_,NN
immediate,popular,suspect,PERIOD,_,_,_,PERIOD
